ribosomal protein L20	rplT	YES	TIGR01032 (HMM): ribosomal protein bL20	
ribosomal protein L21	rplU	YES	TIGR00061 (HMM): ribosomal protein bL21	
ribosomal protein L22	rplV	YES	TIGR01044 (HMM): ribosomal protein uL22	
ribosomal protein L23	rplW	YES	PF00276 (HMM): ribosomal protein uL23	
ribosomal protein L24	rplX	YES	TIGR01079 (HMM): ribosomal protein uL24	
ribosomal protein L27	rpmA	YES	TIGR00062 (HMM): ribosomal protein bL27	
ribosomal protein L28	rpmB	YES	TIGR00009 (HMM): ribosomal protein bL28	
ribosomal protein L29	rpmC	YES	TIGR00012 (HMM): ribosomal protein uL29	
ribosomal protein L32	rpmF	YES	TIGR01031 (HMM): ribosomal protein bL32	
ribosomal protein L34	rpmH	YES	TIGR01030 (HMM): ribosomal protein bL34	
ribosomal protein L35	rpmI	YES	TIGR00001 (HMM): ribosomal protein bL35	
DNA-directed RNA polymerase, alpha subunit	rpoA	YES	TIGR02027 (HMM): DNA-directed RNA polymerase, alpha subunit	
DNA-directed RNA polymerase, beta subunit	rpoB	YES	TIGR02013 (HMM): DNA-directed RNA polymerase, beta subunit	
DNA-directed RNA polymerase, beta' or beta'' subunit	rpoC	YES	TIGR02386 (HMM): DNA-directed RNA polymerase, beta' subunit
TIGR02387 (HMM): DNA-directed RNA polymerase, gamma subunit	
ribosomal protein S2	rpsB	YES	TIGR01011 (HMM): ribosomal protein uS2	
ribosomal protein S3	rpsC	YES	TIGR01009 (HMM): ribosomal protein uS3	
ribosomal protein S4	rpsD	YES	TIGR01017 (HMM): ribosomal protein uS4	
ribosomal protein S5	rpsE	YES	TIGR01021 (HMM): ribosomal protein uS5	
ribosomal protein S6	rpsF	YES	TIGR00166 (HMM): ribosomal protein bS6	
ribosomal protein S7	rpsG	YES	TIGR01029 (HMM): ribosomal protein uS7	
ribosomal protein S8	rpsH	YES	PF00410 (HMM): ribosomal protein uS8	
ribosomal protein S9	rpsI	YES	PF00380 (HMM): ribosomal protein uS9	
ribosomal protein S10	rpsJ	YES	TIGR01049 (HMM): ribosomal protein uS10	
ribosomal protein S11	rpsK	YES	PF00411 (HMM): ribosomal protein uS11	
ribosomal protein S12	rpsL	YES	TIGR00981 (HMM): ribosomal protein uS12	
ribosomal protein S13	rpsM	YES	PF00416 (HMM): ribosomal protein uS13	
ribosomal protein S15	rpsO	YES	TIGR00952 (HMM): ribosomal protein uS15	
ribosomal protein S16	rpsP	YES	TIGR00002 (HMM): ribosomal protein bS16	
ribosomal protein S17	rpsQ	YES	PF00366 (HMM): ribosomal protein uS17	
ribosomal protein S18	rpsR	YES	TIGR00165 (HMM): ribosomal protein bS18	
ribosomal protein S19	rpsS	YES	TIGR01050 (HMM): ribosomal protein uS19	
ribosomal protein S20	rpsT	YES	TIGR00029 (HMM): ribosomal protein bS20	
preprotein translocase, SecA subunit	secA	YES	TIGR00963 (HMM): preprotein translocase, SecA subunit	
preprotein translocase, SecE subunit	secE	YES	TIGR00964 (HMM): preprotein translocase, SecE subunit	
preprotein translocase, SecG subunit	secG	YES	TIGR00810 (HMM): preprotein translocase, SecG subunit	
preprotein translocase, SecY subunit	secY	YES	TIGR00967 (HMM): preprotein translocase, SecY subunit	
